instant,tanggal,musim,tahun,bulan,jam,libur,hari,hari_kerja,kondisi_cuaca,temp,suhu_terasa,kelembaban,windspeed,pengguna_casual,pengguna_terdaftar,jumlah,periode_hari,kehangatan,tingkat_kelembaban
90,2011-01-04,Dingin,2011,Januari,21,tidak,Rabu,ya,Cerah,2.34,1.9982000000000006,0.64,0.0,0,48,48,Malam,Dingin,Sedang
91,2011-01-04,Dingin,2011,Januari,22,tidak,Rabu,ya,Cerah,2.34,1.0015999999999998,0.64,6.0032,1,34,35,Malam,Dingin,Sedang
92,2011-01-04,Dingin,2011,Januari,23,tidak,Rabu,ya,Cerah,1.4000000000000004,-0.9982000000000006,0.69,6.0032,2,9,11,Malam,Dingin,Sedang
93,2011-01-05,Dingin,2011,Januari,0,tidak,Kamis,ya,Cerah,1.4000000000000004,1.0015999999999998,0.64,0.0,0,6,6,Malam,Dingin,Sedang
94,2011-01-05,Dingin,2011,Januari,1,tidak,Kamis,ya,Cerah,-0.47999999999999954,-2.9979999999999993,0.74,6.0032,0,6,6,Malam,Dingin,Tinggi
95,2011-01-05,Dingin,2011,Januari,2,tidak,Kamis,ya,Cerah,-0.47999999999999954,-2.9979999999999993,0.74,6.0032,0,2,2,Malam,Dingin,Tinggi
96,2011-01-05,Dingin,2011,Januari,4,tidak,Kamis,ya,Cerah,3.2799999999999994,-0.9982000000000006,0.48,15.001299999999999,0,2,2,Malam,Dingin,Sedang
97,2011-01-05,Dingin,2011,Januari,5,tidak,Kamis,ya,Cerah,2.34,-0.9982000000000006,0.4699999999999999,11.0014,0,3,3,Malam,Dingin,Sedang
98,2011-01-05,Dingin,2011,Januari,6,tidak,Kamis,ya,Cerah,1.4000000000000004,-2.9979999999999993,0.4699999999999999,15.001299999999999,0,33,33,Malam,Dingin,Sedang
99,2011-01-05,Dingin,2011,Januari,7,tidak,Kamis,ya,Cerah,0.4599999999999991,-4.001200000000001,0.43,12.998000000000001,1,87,88,Pagi,Dingin,Sedang
100,2011-01-05,Dingin,2011,Januari,8,tidak,Kamis,ya,Cerah,1.4000000000000004,-4.001200000000001,0.4,19.999499999999998,3,192,195,Pagi,Dingin,Rendah
101,2011-01-05,Dingin,2011,Januari,9,tidak,Kamis,ya,Cerah,2.34,-2.9979999999999993,0.37,22.0028,6,109,115,Pagi,Dingin,Rendah
102,2011-01-05,Dingin,2011,Januari,10,tidak,Kamis,ya,Cerah,2.34,-2.9979999999999993,0.37,22.0028,4,53,57,Pagi,Dingin,Rendah
103,2011-01-05,Dingin,2011,Januari,11,tidak,Kamis,ya,Cerah,4.220000000000001,-0.9982000000000006,0.33,22.0028,12,34,46,Pagi,Dingin,Rendah
104,2011-01-05,Dingin,2011,Januari,12,tidak,Kamis,ya,Cerah,4.220000000000001,-0.9982000000000006,0.33,22.0028,5,74,79,Pagi,Dingin,Rendah
105,2011-01-05,Dingin,2011,Januari,13,tidak,Kamis,ya,Cerah,5.160000000000002,1.0015999999999998,0.3,19.999499999999998,6,65,71,Sore,Dingin,Rendah
106,2011-01-05,Dingin,2011,Januari,14,tidak,Kamis,ya,Cerah,6.1,3.0014000000000003,0.28,12.998000000000001,10,52,62,Sore,Dingin,Rendah
107,2011-01-05,Dingin,2011,Januari,15,tidak,Kamis,ya,Cerah,6.1,3.0014000000000003,0.28,12.998000000000001,7,55,62,Sore,Dingin,Rendah
108,2011-01-05,Dingin,2011,Januari,16,tidak,Kamis,ya,Cerah,6.1,5.001199999999997,0.28,6.0032,4,85,89,Sore,Dingin,Rendah
109,2011-01-05,Dingin,2011,Januari,17,tidak,Kamis,ya,Cerah,3.2799999999999994,-0.9982000000000006,0.38,12.998000000000001,4,186,190,Sore,Dingin,Rendah
110,2011-01-05,Dingin,2011,Januari,18,tidak,Kamis,ya,Cerah,3.2799999999999994,-0.0015999999999998238,0.38,8.9981,3,166,169,Sore,Dingin,Rendah
111,2011-01-05,Dingin,2011,Januari,19,tidak,Kamis,ya,Cerah,3.2799999999999994,1.0015999999999998,0.38,7.0015,5,127,132,Malam,Dingin,Rendah
112,2011-01-05,Dingin,2011,Januari,20,tidak,Kamis,ya,Cerah,2.34,-0.9982000000000006,0.4699999999999999,11.0014,7,82,89,Malam,Dingin,Sedang
113,2011-01-05,Dingin,2011,Januari,21,tidak,Kamis,ya,Cerah,1.4000000000000004,-2.9979999999999993,0.51,12.998000000000001,3,40,43,Malam,Dingin,Sedang
114,2011-01-05,Dingin,2011,Januari,22,tidak,Kamis,ya,Cerah,0.4599999999999991,-2.9979999999999993,0.55,8.9981,1,41,42,Malam,Dingin,Sedang
115,2011-01-05,Dingin,2011,Januari,23,tidak,Kamis,ya,Cerah,1.4000000000000004,1.0015999999999998,0.4699999999999999,0.0,1,18,19,Malam,Dingin,Sedang
116,2011-01-06,Dingin,2011,Januari,0,tidak,Jumat,ya,Cerah,0.4599999999999991,-0.0015999999999998238,0.55,0.0,0,11,11,Malam,Dingin,Sedang
117,2011-01-06,Dingin,2011,Januari,1,tidak,Jumat,ya,Cerah,-0.47999999999999954,-0.9982000000000006,0.64,0.0,0,4,4,Malam,Dingin,Sedang
118,2011-01-06,Dingin,2011,Januari,2,tidak,Jumat,ya,Cerah,-0.47999999999999954,-0.9982000000000006,0.64,0.0,0,2,2,Malam,Dingin,Sedang
119,2011-01-06,Dingin,2011,Januari,4,tidak,Jumat,ya,Berawan,-0.47999999999999954,-2.9979999999999993,0.64,6.0032,0,1,1,Malam,Dingin,Sedang
120,2011-01-06,Dingin,2011,Januari,5,tidak,Jumat,ya,Berawan,-1.419999999999999,-4.001200000000001,0.69,6.0032,0,4,4,Malam,Dingin,Sedang
121,2011-01-06,Dingin,2011,Januari,6,tidak,Jumat,ya,Berawan,-1.419999999999999,-4.997800000000002,0.63,7.0015,0,36,36,Malam,Dingin,Sedang
122,2011-01-06,Dingin,2011,Januari,7,tidak,Jumat,ya,Berawan,-0.47999999999999954,-0.9982000000000006,0.59,0.0,0,95,95,Pagi,Dingin,Sedang
123,2011-01-06,Dingin,2011,Januari,8,tidak,Jumat,ya,Cerah,-0.47999999999999954,-0.9982000000000006,0.59,0.0,3,216,219,Pagi,Dingin,Sedang
124,2011-01-06,Dingin,2011,Januari,9,tidak,Jumat,ya,Berawan,0.4599999999999991,-0.0015999999999998238,0.51,0.0,6,116,122,Pagi,Dingin,Sedang
125,2011-01-06,Dingin,2011,Januari,10,tidak,Jumat,ya,Cerah,1.4000000000000004,1.0015999999999998,0.4699999999999999,0.0,3,42,45,Pagi,Dingin,Sedang
126,2011-01-06,Dingin,2011,Januari,11,tidak,Jumat,ya,Cerah,2.34,1.0015999999999998,0.44,6.0032,2,57,59,Pagi,Dingin,Sedang
127,2011-01-06,Dingin,2011,Januari,12,tidak,Jumat,ya,Cerah,4.220000000000001,3.0014000000000003,0.35,0.0,6,78,84,Pagi,Dingin,Rendah
128,2011-01-06,Dingin,2011,Januari,13,tidak,Jumat,ya,Cerah,4.220000000000001,1.9982000000000006,0.35,7.0015,12,55,67,Sore,Dingin,Rendah
129,2011-01-06,Dingin,2011,Januari,14,tidak,Jumat,ya,Cerah,5.160000000000002,1.9982000000000006,0.36,11.0014,11,59,70,Sore,Dingin,Rendah
130,2011-01-06,Dingin,2011,Januari,15,tidak,Jumat,ya,Cerah,5.160000000000002,1.9982000000000006,0.36,0.0,8,54,62,Sore,Dingin,Rendah
131,2011-01-06,Dingin,2011,Januari,16,tidak,Jumat,ya,Cerah,4.220000000000001,1.0015999999999998,0.38,11.0014,12,74,86,Sore,Dingin,Rendah
132,2011-01-06,Dingin,2011,Januari,17,tidak,Jumat,ya,Cerah,2.34,-0.9982000000000006,0.51,11.0014,9,163,172,Sore,Dingin,Sedang
133,2011-01-06,Dingin,2011,Januari,18,tidak,Jumat,ya,Cerah,2.34,-0.9982000000000006,0.51,8.9981,5,158,163,Sore,Dingin,Sedang
134,2011-01-06,Dingin,2011,Januari,19,tidak,Jumat,ya,Cerah,2.34,1.0015999999999998,0.55,6.0032,3,109,112,Malam,Dingin,Sedang
135,2011-01-06,Dingin,2011,Januari,20,tidak,Jumat,ya,Cerah,1.4000000000000004,-2.0013999999999985,0.51,11.0014,3,66,69,Malam,Dingin,Sedang
136,2011-01-06,Dingin,2011,Januari,21,tidak,Jumat,ya,Berawan,2.34,-2.0013999999999985,0.55,15.001299999999999,0,48,48,Malam,Dingin,Sedang
137,2011-01-06,Dingin,2011,Januari,22,tidak,Jumat,ya,Berawan,2.34,-2.0013999999999985,0.51,19.0012,1,51,52,Malam,Dingin,Sedang
138,2011-01-06,Dingin,2011,Januari,23,tidak,Jumat,ya,Berawan,1.4000000000000004,-2.9979999999999993,0.59,12.998000000000001,4,19,23,Malam,Dingin,Sedang
139,2011-01-07,Dingin,2011,Januari,0,tidak,Sabtu,ya,Berawan,1.4000000000000004,-2.9979999999999993,0.64,12.998000000000001,4,13,17,Malam,Dingin,Sedang
140,2011-01-07,Dingin,2011,Januari,1,tidak,Sabtu,ya,Berawan,1.4000000000000004,-2.9979999999999993,0.69,15.001299999999999,2,5,7,Malam,Dingin,Sedang
141,2011-01-07,Dingin,2011,Januari,2,tidak,Sabtu,ya,Berawan,1.4000000000000004,-2.9979999999999993,0.69,15.001299999999999,0,1,1,Malam,Dingin,Sedang
142,2011-01-07,Dingin,2011,Januari,4,tidak,Sabtu,ya,Berawan,1.4000000000000004,-2.0013999999999985,0.69,8.9981,0,1,1,Malam,Dingin,Sedang
143,2011-01-07,Dingin,2011,Januari,5,tidak,Sabtu,ya,Hujan Ringan,2.34,1.9982000000000006,0.55,0.0,0,5,5,Malam,Dingin,Sedang
144,2011-01-07,Dingin,2011,Januari,6,tidak,Sabtu,ya,Berawan,1.4000000000000004,1.0015999999999998,0.69,0.0,8,26,34,Malam,Dingin,Sedang
145,2011-01-07,Dingin,2011,Januari,7,tidak,Sabtu,ya,Cerah,1.4000000000000004,-2.0013999999999985,0.69,8.9981,8,76,84,Pagi,Dingin,Sedang
146,2011-01-07,Dingin,2011,Januari,8,tidak,Sabtu,ya,Cerah,1.4000000000000004,-2.9979999999999993,0.51,16.997899999999998,20,190,210,Pagi,Dingin,Sedang
147,2011-01-07,Dingin,2011,Januari,9,tidak,Sabtu,ya,Cerah,1.4000000000000004,-4.001200000000001,0.4699999999999999,19.999499999999998,9,125,134,Pagi,Dingin,Sedang
148,2011-01-07,Dingin,2011,Januari,10,tidak,Sabtu,ya,Cerah,2.34,-2.9979999999999993,0.37,22.0028,16,47,63,Pagi,Dingin,Rendah
149,2011-01-07,Dingin,2011,Januari,11,tidak,Sabtu,ya,Berawan,1.4000000000000004,-2.9979999999999993,0.4,15.001299999999999,19,48,67,Pagi,Dingin,Rendah
150,2011-01-07,Dingin,2011,Januari,12,tidak,Sabtu,ya,Berawan,1.4000000000000004,-2.9979999999999993,0.37,16.997899999999998,9,50,59,Pagi,Dingin,Rendah
151,2011-01-07,Dingin,2011,Januari,13,tidak,Sabtu,ya,Berawan,1.4000000000000004,-4.001200000000001,0.37,19.0012,9,64,73,Sore,Dingin,Rendah
152,2011-01-07,Dingin,2011,Januari,14,tidak,Sabtu,ya,Berawan,1.4000000000000004,-2.9979999999999993,0.4,16.997899999999998,7,43,50,Sore,Dingin,Rendah
153,2011-01-07,Dingin,2011,Januari,15,tidak,Sabtu,ya,Berawan,1.4000000000000004,-2.0013999999999985,0.37,11.0014,9,63,72,Sore,Dingin,Rendah
154,2011-01-07,Dingin,2011,Januari,16,tidak,Sabtu,ya,Berawan,1.4000000000000004,-2.0013999999999985,0.37,11.0014,5,82,87,Sore,Dingin,Rendah
155,2011-01-07,Dingin,2011,Januari,17,tidak,Sabtu,ya,Berawan,1.4000000000000004,1.0015999999999998,0.37,0.0,9,178,187,Sore,Dingin,Rendah
